The International 2018,mineski,Anucha ''Jabz'' Jirawong ,7-8th
The Kuala Lumpur Major,350190,Anucha ''Jabz'' Jirawong ,5-6th
The Chongqing Major,350190,Anucha ''Jabz'' Jirawong ,3rd
DreamLeague Season 11,350190,Anucha ''Jabz'' Jirawong ,13-16th
MDL Disneyland? Paris Major,350190,Anucha ''Jabz'' Jirawong ,13-16th
EPICENTER Major,350190,Anucha ''Jabz'' Jirawong ,13-16th
The International 2019,350190,Anucha ''Jabz'' Jirawong ,9-12th
The International 2019,1375614,Arif ''MSS'' Anwar,4th
EPICENTER Major,2108395,Arjay ''papadom'' Domdom ,9-12th
The International 2019,2108395,Arjay ''papadom'' Domdom ,7-8th
MDL Changsha Major,2108395,Armel Paul ''Armel'' Tabios ,7-8th
China Dota2 Supermajor,2108395,Armel Paul ''Armel'' Tabios ,13-16th
The International 2018,2108395,Armel Paul ''Armel'' Tabios ,5-6th
The Kuala Lumpur Major,2108395,Armel Paul ''Armel'' Tabios ,9-12th
The Chongqing Major,2108395,Armel Paul ''Armel'' Tabios ,4th
EPICENTER Major,2108395,Armel Paul ''Armel'' Tabios ,9-12th
The International 2019,2108395,Armel Paul ''Armel'' Tabios ,1st
The Kuala Lumpur Major,1883502,Arseniy ''ArsZeeqq'' Usov,2nd
The Chongqing Major,1883502,Arseniy ''ArsZeeqq'' Usov,2nd
DreamLeague Season 11,1883502,Arseniy ''ArsZeeqq'' Usov,7-8th
MDL Disneyland? Paris Major,1883502,Arseniy ''ArsZeeqq'' Usov,3rd
EPICENTER Major,1883502,Arseniy ''ArsZeeqq'' Usov,9-12th
The International 2019,1883502,Arseniy ''ArsZeeqq'' Usov,10-12th
ESL One Birmingham 2018,39,Artour ''Arteezy'' Babaev,9-12th
China Dota2 Supermajor,39,Artour ''Arteezy'' Babaev,3rd
The International 2018,39,Artour ''Arteezy'' Babaev,3rd
The Kuala Lumpur Major,39,Artour ''Arteezy'' Babaev,3rd
The Chongqing Major,39,Artour ''Arteezy'' Babaev,7-8th
DreamLeague Season 11,39,Artour ''Arteezy'' Babaev,3rd
MDL Disneyland? Paris Major,39,Artour ''Arteezy'' Babaev,13-16th
EPICENTER Major,39,Artour ''Arteezy'' Babaev,5-6th
The International 2019,39,Artour ''Arteezy'' Babaev,9-12th
The Kuala Lumpur Major,111474,Aydin ''iNSaNiA'' Sarkohi ,13-16th
The Chongqing Major,111474,Aydin ''iNSaNiA'' Sarkohi ,5-6th
EPICENTER Major,111474,Aydin ''iNSaNiA'' Sarkohi ,13-16th
The International 2019,111474,Aydin ''iNSaNiA'' Sarkohi ,7-8th
EPICENTER XL,1838315,Ayse Elvan ''L1'' Aydemir ,5-6th
MDL Changsha Major,1838315,Ayse Elvan ''L1'' Aydemir ,4th
China Dota2 Supermajor,1838315,Ayse Elvan ''L1'' Aydemir ,5-6th
The International 2018,1838315,Ayse Elvan ''L1'' Aydemir ,2nd
The Kuala Lumpur Major,1838315,Ayse Elvan ''L1'' Aydemir ,1st
The Chongqing Major,1838315,Ayse Elvan ''L1'' Aydemir ,4th
DreamLeague Season 11,1838315,Ayse Elvan ''L1'' Aydemir ,1st
